ID,name,country_name,country_id,totalptswon,aces,1st_servepct,1st_servewonpct,2nd_servewonpct,serve_rating,totalgamesplayed,totalgameswon,matcheswon,1st_servereturnwonpct,doublefaults,return_to_service_pts,aces_dfs_ratio,pts_dominance,returngamewon_pct,pt_time(secs),matches_played,games_dominance,breakpts_wonpct,aces_pct,service_games_wonpct,matches_wonpct,pts_won_per_rtngame,upsets_againstpct,tie_breakswon_pct
,Salvatore Caruso,Italy,ITA,,,,,,,,,,,,,,,,,,,60.17,4.36,73.32,38.1,2.356,14.29,
,Jozef Kovalik,Slovakia,SVK,,,,,,,,,,,,,,,,,,,53.09,4.36,68.07,,2.17,,
,Jason Jung,"Taiwan, Province of China",TPE,,,,,,,,,,,,,,,,,,,57.03,4.17,74.42,,2.223,,
,Yannick Hanfmann,Germany,GER,,,,,,,,,,,,,,,,,,,54.81,4.08,75.1,,2.498,,
,Attila Balazs,Hungary,HUN,,,,,,,,,,,,,,,,,,,67.96,4.04,78.36,,2.263,,
,Mikael Ymer,Sweden,SWE,,,,,,,,,,,,,,,,,,,52.49,3.8,66.21,,2.444,,
,Carlos Alcaraz Garfia,Spain,ESP,,,,,,,,,,,,,,,,,,,59.8,3.6,,,,,
,Lorenzo Musetti,Italy,ITA,,,,,,,,,,,,,,,,,,,60.87,3.31,,,,,
,Federico Coria,Argentina,ARG,,,,,,,,,,,,,,,,,,,62.37,3.03,67.95,,2.496,,
,Andrej Martin,Slovakia,SVK,,,,,,,,,,,,,,,,,,,60.47,3.02,69.86,,2.546,,
,Antonie Hoang,France,FRA,,,,,,,,,,,,,,,,,,,52.76,2.82,,,,,
,Hugo Dellien,"Bolivia, Plurinational State of",BOL,,,,,,,,,,,,,,,,,,,59.54,2.6,67.01,38.1,2.556,17.07,
,Pedro Martinez Portero,Spain,ESP,,,,,,,,,,,,,,,,,,,59.91,2.57,69.9,,2.525,,
,Corentin Moutet,France,FRA,,,,,,,,,,,,,,,,,,,56.3,2.54,71.85,47.62,2.389,19.05,57.14
,Alejandro Davidovich Fokina,Spain,ESP,,,,,,,,,,,,,,,,,,,55.84,2.27,69.42,50,2.637,11.36,
,Hugo Gaston,France,FRA,,,,,,,,,,,,,,,,,,,64.49,1.89,,,,,
,Sumit Nagal,India,IND,,,,,,,,,,,,,,,,,,,54.35,1.32,,,,,
